pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
135.914001,-86.569773,180.0,top,C1,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nF,smt
135.914001,-89.871773,0.0,top,C2,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nF,smt
107.211001,-117.176773,0.0,bottom,J1,,,ASP-134488-01,Samtec_ASP-134488-01,smt
102.904001,-79.076773,0.0,bottom,J2,,,ASP-134488-01,Samtec_ASP-134488-01,smt
128.294001,-98.117273,90.0,top,J3,,,IDC-Header_2x12_P2.54mm_Latch_Vertical,Conn_02x12_Odd_Even,tht
177.213001,-117.176773,0.0,bottom,J4,,,ASP-134488-01,Samtec_ASP-134488-01,smt
181.520001,-79.076773,0.0,bottom,J5,,,ASP-134488-01,Samtec_ASP-134488-01,smt
135.914001,-108.794773,90.0,top,J6,,,IDC-Header_2x06_P2.54mm_Vertical,Conn_02x06_Odd_Even,tht
102.904001,-79.076773,180.0,top,J7,,,Samtec_FMC_ASP-134486-01_10x40_P1.27mm_Vertical,Samtec_ASP-134486-01,smt
181.520001,-79.076773,180.0,top,J8,,,Samtec_FMC_ASP-134486-01_10x40_P1.27mm_Vertical,Samtec_ASP-134486-01,smt
139.724001,-88.220773,90.0,top,U1,,,VSSOP-8_2.4x2.1mm_P0.5mm,SN74LVC2T45DCUR,smt
